RUNTIMES, PLATFORM, TIMES, MS, TIMES/S, N, COMPLITE,
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), native, 1972, 5002, 394.2423030787685, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bubble, 27, 5076, 5.319148936170213, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), select, 24, 5139, 4.670169293636894, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), insert, 119, 5030, 23.658051689860834, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), gnome, 61, 5185, 11.76470588235294, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), shaker, 32, 5048, 6.3391442155309035, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), comb, 4399, 5000, 879.8000000000001, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), fshell, 45, 5021, 8.962358095996812, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bucket, 3577, 5000, 715.4000000000001, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), radix, 2170, 5001, 433.9132173565287, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), pigeon, 32320, 5000, 6464, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bogo, 5, 6205, 0.8058017727639001, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), sleep, 2, 9921, 0.20159258139300473, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), heap, 2158, 5000, 431.59999999999997, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), merge, 2812, 5001, 562.2875424915017, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), quick, 4016, 5000, 803.2, true
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), native, 8433, 5000, 1686.6000000000001, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bubble, 28, 5090, 5.50098231827112, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), select, 40, 5074, 7.883326763894364, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), insert, 172, 5021, 34.25612427803226, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), gnome, 111, 5027, 22.080763875074595, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), shaker, 41, 5049, 8.120419885125768, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), comb, 4594, 5000, 918.8, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), fshell, 72, 5039, 14.288549315340346, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), heap, 4107, 5000, 821.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), merge, 4054, 5000, 810.8, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), quick, 6066, 5000, 1213.2, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bucket, 6752, 5000, 1350.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), radix, 1992, 5001, 398.32033593281346, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), pigeon, 25393, 5000, 5078.599999999999, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bogo, 8, 6862, 1.1658408627222385, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), sleep, 2, 9924, 0.20153164046755342, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), native, 3253, 5000, 650.5999999999999, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bubble, 16, 5055, 3.165182987141444, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), select, 19, 5223, 3.6377560788818686, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), insert, 2, 8350, 0.23952095808383234, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), gnome, 2, 8636, 0.2315886984715146, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), shaker, 17, 5295, 3.2105760151085927, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), comb, 2553, 5000, 510.6000000000001, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), fshell, 1, 14738, 0.06785181164337088, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), heap, 519, 5008, 103.63418530351437, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), merge, 1435, 5015, 286.14157527417746, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), quick, 1577, 5002, 315.2738904438225, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bucket, 2136, 5001, 427.11457708458306, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), radix, 491, 5005, 98.1018981018981, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), pigeon, 17445, 5000, 3489.0, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bogo, 5, 5610, 0.8912655971479501, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), sleep, 2, 9927, 0.20147073637554144, True
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), native, 1935, 5000, 387, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), gnome, 68, 5054, 13.454689354966362, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), shaker, 33, 5035, 6.554121151936445, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), comb, 4349, 5000, 869.8000000000001, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), fshell, 40, 5030, 7.952286282306162, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), heap, 2239, 5000, 447.79999999999995, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), merge, 2806, 5001, 561.0877824435113, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bubble, 29, 5046, 5.747126436781609, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bucket, 4053, 5001, 810.4379124175165, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), radix, 2301, 5001, 460.10797840431917, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), quick, 4109, 5000, 821.8, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), pigeon, 33971, 5000, 6794.2, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), insert, 137, 5032, 27.225755166931634, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), select, 30, 5072, 5.914826498422713, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bogo, 5, 5711, 0.8755034144633165, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), sleep, 2, 9910, 0.20181634712411706, true
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), native, 8635, 5000, 1727, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bubble, 28, 5094, 5.496662740478995, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), select, 42, 5009, 8.384907167099222, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), insert, 175, 5002, 34.986005597760894, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), gnome, 113, 5013, 22.54139237981249, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), shaker, 41, 5119, 8.009376831412386, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), comb, 5237, 5000, 1047.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), fshell, 82, 5061, 16.202331555028653, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), heap, 4260, 5000, 852, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), merge, 4132, 5000, 826.4, True
